,campaign_id,campaign_name,start_date,end_date,channel,impressions,clicks,spend,conversions,active,campaign_tag,season
0,CMP-00001,Q4_Summer_CMP-00001,2023-11-24,2023-12-13,TikTok,16795,197,102.82,20.0,True,TI,Summer
1,CMP-00002,Q1_Launch_CMP-00002,2023-05-06,2023-05-12,Facebook,1860,30,24.33,1.0,True,FA,Launch
2,CMP-00003,Q3_Winter_CMP-00003,2023-12-13,2023-12-20,Email,77820,843,1323.39,51.0,True,EM,Winter
3,CMP-00004,Q1_BlackFriday_CMP-00004,,2023-11-03,TikTok,55886,2019,2180.38,135.0,False,TI,BlackFriday
4,CMP-00005,Q2_Winter_CMP-00005,2023-04-22,2023-04-23,Facebook,7265,169,252.44,30.0,True,FA,Winter
5,CMP-00006,Q4_BlackFriday_CMP-00006,2023-10-15,2023-10-28,Instagram,83386,2643,2697.03,,True,IN,BlackFriday
6,CMP-00007,Q3_Launch_CMP-00007,2023-10-07,2023-10-23,Facebook,38194,1135,1232.76,178.0,True,FA,Launch
7,CMP-00008,Q4_Launch_CMP-00008,,2023-05-28,Instagram,88498,1173,865.7,127.0,True,IN,Launch
8,CMP-00009,Q4_BlackFriday_CMP-00009,2023-03-23,2023-04-01,Google Ads,45131,1179,1046.18,104.0,True,GO,BlackFriday
9,CMP-00010,Q2_Winter_CMP-00010,2023-03-21,2023-04-01,Email,61263,1153,1623.56,,True,EM,Winter
10,CMP-00011,Q4_Launch_CMP-00011,,2023-03-01,Instagram,17023,455,523.13,76.0,True,IN,Launch
11,CMP-00012,Q4_Launch_CMP-00012,2023-02-19,2023-02-20,Google Ads,42090,763,1267.69,109.0,False,GO,Launch
12,CMP-00013,Q2_Launch_CMP-00013,2023-05-16,2023-06-01,Google Ads,68221,2975,5292.16,567.0,True,GO,Launch
13,CMP-00014,Q1_Launch_CMP-00014,2023-10-02,2023-10-15,TikTok,65820,1116,1464.72,169.0,True,TI,Launch
14,CMP-00015,Q2_Summer_CMP-00015,2023-02-10,2023-02-16,Google Ads,1769,85,139.18,11.0,True,GO,Summer
15,CMP-00016,Q2_BlackFriday_CMP-00016,2023-11-13,2023-11-23,Email,60735,1617,1552.9,228.0,True,E-,BlackFriday
16,CMP-00017,Q1_Winter_CMP-00017,,2023-10-01,Email,63955,2804,3147.37,536.0,True,EM,Winter
17,CMP-00018,Q1_BlackFriday_CMP-00018,2023-04-27,2023-05-25,Instagram,65925,2317,3635.76,389.0,False,IN,BlackFriday
18,CMP-00019,Q4_Winter_CMP-00019,2023-04-30,2023-05-18,Facebook,68969,2718,2933.59,145.0,True,FA,Winter
19,CMP-00020,Q1_Summer_CMP-00020,2023-08-21,2023-08-30,Email,6311,256,353.99,,True,INVALID,Summer
20,CMP-00021,Q3_BlackFriday_CMP-00021,2023-07-09,2023-07-17,Facebook,84104,2539,1975.49,,True,FA,BlackFriday
21,CMP-00022,Q2_BlackFriday_CMP-00022,2023-12-26,2024-01-02,Google Ads,54707,1735,2428.4,,True,GO,BlackFriday
22,CMP-00023,Q4_Winter_CMP-00023,2023-11-08,2023-11-24,Google Ads,86305,2637,4726.22,216.0,True,GO,Winter
23,CMP-00024,Q4_Winter_CMP-00024,2023-05-06,2023-06-05,Instagram,29693,995,1793.94,179.0,True,IN,Winter
24,CMP-00025,Q2_Winter_CMP-00025,2023-11-24,2023-12-18,Email,72932,815,1293.01,157.0,True,EM,Winter
25,CMP-00026,Q1_Winter_CMP-00026,2023-06-16,2023-07-02,Google Ads,94016,2427,3928.42,207.0,True,GO,Winter
26,CMP-00027,Q1_Winter_CMP-00027,2023-04-28,2023-05-12,TikTok,26658,912,1219.24,166.0,False,TI,Winter
27,CMP-00028,Q4_Summer_CMP-00028,2023-07-25,2023-08-08,Email,85478,2898,3990.55,187.0,True,EM,Summer
28,CMP-00029,Q4_BlackFriday_CMP-00029,2023-10-18,2023-11-15,Instagram,19431,810,567.39,47.0,True,IN,BlackFriday
29,CMP-00030,Q1_Summer_CMP-00030,2023-12-02,2023-12-08,Instagram,3747,135,157.38,9.0,True,IN,Summer
30,CMP-00031,Q1_Launch_CMP-00031,2023-11-26,2023-12-12,Google Ads,60150,2988,3514.38,175.0,True,GO,Launch
31,CMP-00032,Q2_Summer_CMP-00032,2023-05-07,2023-05-29,Instagram,66725,1424,2759.35,251.0,False,IN,Summer
32,CMP-00033,Q2_BlackFriday_CMP-00033,2023-10-27,2023-10-29,Instagram,85654,2087,2393.02,122.0,True,IN,BlackFriday
33,CMP-00034,Q2_Summer_CMP-00034,2023-07-05,2023-07-17,Facebook,36773,932,1233.98,84.0,True,FA,Summer
34,CMP-00035,Q2_Summer_CMP-00035,2023-09-18,2023-09-22,Instagram,68435,1959,2546.46,128.0,True,IN,Summer
35,CMP-00036,Q1_Launch_CMP-00036,2023-02-26,2023-03-01,TikTok,57886,2514,3658.23,237.0,True,TI,Launch
36,CMP-00037,Q2_Winter_CMP-00037,,2023-12-26,Instagram,67803,1317,2136.63,83.0,True,IN,Winter
37,CMP-00038,Q4_Winter_CMP-00038,2023-07-15,2023-08-07,TikTok,32551,1335,1118.15,200.0,True,TI,Winter
38,CMP-00039,Q3_Launch_CMP-00039,2023-05-09,2023-05-25,Email,12394,324,418.96,22.0,True,EM,Launch
39,CMP-00040,Q4_BlackFriday_CMP-00040,2023-01-06,2023-01-26,Email,70092,2388,4152.44,424.0,True,EM,BlackFriday
40,CMP-00041,Q4_Summer_CMP-00041,2023-10-02,2023-10-12,Email,4890,172,205.48,29.0,False,EM,Summer
41,CMP-00042,Q3_Summer_CMP-00042,2023-06-24,2023-06-29,TikTok,42606,1061,973.67,55.0,True,TI,Summer
42,CMP-00043,Q2_Summer_CMP-00043,,2023-08-29,Instagram,97276,2967,4397.28,546.0,True,IN,Summer
43,CMP-00044,Q1_Winter_CMP-00044,2023-05-15,2023-06-01,Email,81038,2149,3729.91,116.0,True,E-,Winter
44,CMP-00045,Q2_Summer_CMP-00045,2023-09-17,2023-10-03,TikTok,88313,1127,670.24,96.0,False,TI,Summer
45,CMP-00046,Q4_Launch_CMP-00046,2023-06-02,2023-06-28,Instagram,11627,319,531.19,17.0,False,IN,Launch
46,CMP-00047,Q4_BlackFriday_CMP-00047,2023-04-12,2023-04-19,Google Ads,9792,136,235.62,13.0,True,GO,BlackFriday
47,CMP-00048,Q3_Winter_CMP-00048,2023-10-04,2023-10-18,Email,74969,1964,2341.65,249.0,True,EM,Winter
48,CMP-00049,Q4_Winter_CMP-00049,2023-01-01,2023-01-17,Facebook,44001,1483,2928.86,,False,FA,Winter
49,CMP-00050,Q3_Summer_CMP-00050,2023-02-27,2023-02-28,Email,77552,2572,4321.12,258.0,False,INVALID,Summer
50,CMP-00051,Q4_Winter_CMP-00051,2023-06-07,2023-06-17,Google Ads,24897,908,1507.73,141.0,True,GO,Winter
51,CMP-00052,Q2_Launch_CMP-00052,,2023-11-08,TikTok,69148,954,1547.16,74.0,False,TI,Launch
